"22.04 10:54:07,875|" start hat status: 
"22.04 10:54:32,601|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:32,633|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:32,696|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:32,758|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:32,790|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:32,851|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:32,914|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,117|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,242|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,273|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,569|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,648|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,741|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,772|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,804|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,850|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,897|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,944|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:33,991|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:34,038|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:34,069|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:34,147|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:34,161|" loop_leser hat status: Empfagene Nummer: 26, Msg: 26te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:34,770|" loop_leser hat status: Empfagene Nummer: 27, Msg: 27te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:35,191|" loop_leser hat status: Empfagene Nummer: 27, Msg: 27te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:35,472|" loop_leser hat status: Empfagene Nummer: 28, Msg: 28te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:35,785|" loop_leser hat status: Empfagene Nummer: 27, Msg: 27te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:35,972|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:36,175|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:36,237|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:36,423|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:36,548|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:36,798|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:36,877|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:37,016|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:37,173|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:37,750|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:38,000|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:38,046|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:38,874|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:38,905|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:38,952|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:38,983|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,139|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,185|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,248|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,278|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,342|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,403|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,419|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,467|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:39,512|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:41,198|" loop_leser hat status: Empfagene Nummer: 199, Msg: 199te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:41,417|" loop_leser hat status: Empfagene Nummer: 199, Msg: 199te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:41,463|" loop_leser hat status: Empfagene Nummer: 199, Msg: 199te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:41,665|" loop_leser hat status: Empfagene Nummer: 203, Msg: 203te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:41,790|" loop_leser hat status: Empfagene Nummer: 210, Msg: 210te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:41,994|" loop_leser hat status: Empfagene Nummer: 264, Msg: 264te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:42,087|" loop_leser hat status: Empfagene Nummer: 264, Msg: 264te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:42,337|" loop_leser hat status: Empfagene Nummer: 264, Msg: 264te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:42,805|" loop_leser hat status: Empfagene Nummer: 264, Msg: 264te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:43,335|" loop_leser hat status: Empfagene Nummer: 264, Msg: 264te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:43,601|" loop_leser hat status: Empfagene Nummer: 264, Msg: 264te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:43,741|" loop_leser hat status: Empfagene Nummer: 264, Msg: 264te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,177|" loop_leser hat status: Empfagene Nummer: 270, Msg: 270te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,270|" loop_leser hat status: Empfagene Nummer: 272, Msg: 272te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,286|" loop_leser hat status: Empfagene Nummer: 272, Msg: 272te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,302|" loop_leser hat status: Empfagene Nummer: 272, Msg: 272te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,334|" loop_leser hat status: Empfagene Nummer: 272, Msg: 272te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,334|" loop_leser hat status: Empfagene Nummer: 272, Msg: 272te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,395|" loop_leser hat status: Empfagene Nummer: 279, Msg: 279te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,427|" loop_leser hat status: Empfagene Nummer: 279, Msg: 279te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,536|" loop_leser hat status: Empfagene Nummer: 279, Msg: 279te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,599|" loop_leser hat status: Empfagene Nummer: 279, Msg: 279te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,693|" loop_leser hat status: Empfagene Nummer: 279, Msg: 279te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:44,724|" loop_leser hat status: Empfagene Nummer: 279, Msg: 279te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:45,004|" loop_leser hat status: Empfagene Nummer: 279, Msg: 279te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:46,409|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:46,657|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:46,705|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:46,782|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:46,923|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:47,345|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:47,423|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:47,516|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:47,922|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:48,265|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:48,639|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:48,685|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,326|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,357|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,373|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,403|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,419|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,435|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,560|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,591|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,653|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,762|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,794|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,841|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:49,903|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:51,524|" loop_leser hat status: Empfagene Nummer: 484, Msg: 484te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:51,899|" loop_leser hat status: Empfagene Nummer: 500, Msg: 500te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:51,962|" loop_leser hat status: Empfagene Nummer: 500, Msg: 500te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:52,165|" loop_leser hat status: Empfagene Nummer: 502, Msg: 502te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:52,805|" loop_leser hat status: Empfagene Nummer: 516, Msg: 516te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:52,867|" loop_leser hat status: Empfagene Nummer: 557, Msg: 557te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:52,929|" loop_leser hat status: Empfagene Nummer: 557, Msg: 557te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:53,101|" loop_leser hat status: Empfagene Nummer: 557, Msg: 557te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:53,429|" loop_leser hat status: Empfagene Nummer: 557, Msg: 557te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:53,943|" loop_leser hat status: Empfagene Nummer: 557, Msg: 557te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:54,536|" loop_leser hat status: Empfagene Nummer: 557, Msg: 557te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:54,613|" loop_leser hat status: Empfagene Nummer: 557, Msg: 557te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,082|" loop_leser hat status: Empfagene Nummer: 569, Msg: 569te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,113|" loop_leser hat status: Empfagene Nummer: 569, Msg: 569te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,145|" loop_leser hat status: Empfagene Nummer: 569, Msg: 569te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,191|" loop_leser hat status: Empfagene Nummer: 569, Msg: 569te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,223|" loop_leser hat status: Empfagene Nummer: 569, Msg: 569te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,238|" loop_leser hat status: Empfagene Nummer: 569, Msg: 569te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,363|" loop_leser hat status: Empfagene Nummer: 577, Msg: 577te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,394|" loop_leser hat status: Empfagene Nummer: 577, Msg: 577te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,472|" loop_leser hat status: Empfagene Nummer: 577, Msg: 577te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,550|" loop_leser hat status: Empfagene Nummer: 577, Msg: 577te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,581|" loop_leser hat status: Empfagene Nummer: 577, Msg: 577te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,644|" loop_leser hat status: Empfagene Nummer: 587, Msg: 587te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:55,706|" loop_leser hat status: Empfagene Nummer: 587, Msg: 587te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:54:56,970|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:57,687|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:57,734|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:58,999|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:58,218|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:58,435|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:58,530|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:58,733|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:59,076|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:59,387|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:59,855|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:54:59,887|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,324|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,339|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,402|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,433|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,464|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,495|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,620|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,651|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:00,761|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:01,088|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:01,104|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:01,151|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:01,274|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:02,508|" loop_leser hat status: Empfagene Nummer: 785, Msg: 785te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:03,006|" loop_leser hat status: Empfagene Nummer: 799, Msg: 799te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:03,038|" loop_leser hat status: Empfagene Nummer: 799, Msg: 799te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:03,335|" loop_leser hat status: Empfagene Nummer: 805, Msg: 805te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:03,927|" loop_leser hat status: Empfagene Nummer: 816, Msg: 816te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:03,990|" loop_leser hat status: Empfagene Nummer: 816, Msg: 816te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:04,099|" loop_leser hat status: Empfagene Nummer: 852, Msg: 852te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:04,379|" loop_leser hat status: Empfagene Nummer: 852, Msg: 852te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:04,566|" loop_leser hat status: Empfagene Nummer: 852, Msg: 852te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:04,863|" loop_leser hat status: Empfagene Nummer: 852, Msg: 852te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:05,284|" loop_leser hat status: Empfagene Nummer: 852, Msg: 852te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:05,347|" loop_leser hat status: Empfagene Nummer: 852, Msg: 852te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:05,893|" loop_leser hat status: Empfagene Nummer: 868, Msg: 868te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:05,923|" loop_leser hat status: Empfagene Nummer: 868, Msg: 868te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,064|" loop_leser hat status: Empfagene Nummer: 868, Msg: 868te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,096|" loop_leser hat status: Empfagene Nummer: 868, Msg: 868te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,111|" loop_leser hat status: Empfagene Nummer: 868, Msg: 868te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,157|" loop_leser hat status: Empfagene Nummer: 868, Msg: 868te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,423|" loop_leser hat status: Empfagene Nummer: 877, Msg: 877te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,423|" loop_leser hat status: Empfagene Nummer: 877, Msg: 877te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,516|" loop_leser hat status: Empfagene Nummer: 877, Msg: 877te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,579|" loop_leser hat status: Empfagene Nummer: 877, Msg: 877te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,611|" loop_leser hat status: Empfagene Nummer: 877, Msg: 877te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,625|" loop_leser hat status: Empfagene Nummer: 877, Msg: 877te Nachricht von PC/PraGr/Team labXY/2/3 erstellt. 
"22.04 10:55:06,812|" loop_leser hat status: Empfagene Nummer: 886, Msg: Error Nachricht zum Lücke von 885 bis 886 zu füllen. 
"22.04 10:55:07,937|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
"22.04 10:55:08,249|" loop_leser hat status: Empfagene Nummer: 0, Msg: Angeforderte Nachricht nicht vorhanden.. 
