"22.04 10:54:03,010|" initCMEM hat status: input: RemTime: 4000, Datei: 'cmem.log'. 
"22.04 10:54:32,806|" updateClient hat status: input: ClientId: <7602.82.0>, NNr: 26. 
"22.04 10:54:32,806|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:32,837|" getClientNNr hat status: input: ClientId: <7602.86.0>. 
"22.04 10:54:32,837|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,837|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,837|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:32,853|" updateClient hat status: input: ClientId: <7602.86.0>, NNr: 26. 
"22.04 10:54:32,853|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:32,899|" getClientNNr hat status: input: ClientId: <7602.88.0>. 
"22.04 10:54:32,899|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:32,899|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:32,899|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:32,915|" updateClient hat status: input: ClientId: <7602.88.0>, NNr: 26. 
"22.04 10:54:32,915|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,103|" getClientNNr hat status: input: ClientId: <7602.95.0>. 
"22.04 10:54:33,103|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,103|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,103|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,117|" updateClient hat status: input: ClientId: <7602.95.0>, NNr: 26. 
"22.04 10:54:33,117|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,227|" getClientNNr hat status: input: ClientId: <7602.89.0>. 
"22.04 10:54:33,227|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,227|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,227|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,242|" updateClient hat status: input: ClientId: <7602.89.0>, NNr: 26. 
"22.04 10:54:33,242|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,242|" getClientNNr hat status: input: ClientId: <7602.91.0>. 
"22.04 10:54:33,242|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,242|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,242|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,274|" updateClient hat status: input: ClientId: <7602.91.0>, NNr: 26. 
"22.04 10:54:33,274|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,539|" getClientNNr hat status: input: ClientId: <7602.106.0>. 
"22.04 10:54:33,539|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,539|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,539|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,571|" updateClient hat status: input: ClientId: <7602.106.0>, NNr: 26. 
"22.04 10:54:33,571|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,633|" getClientNNr hat status: input: ClientId: <7602.102.0>. 
"22.04 10:54:33,633|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,633|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,633|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,649|" updateClient hat status: input: ClientId: <7602.102.0>, NNr: 26. 
"22.04 10:54:33,649|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,680|" getClientNNr hat status: input: ClientId: <7602.99.0>. 
"22.04 10:54:33,680|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,680|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,680|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,742|" updateClient hat status: input: ClientId: <7602.99.0>, NNr: 26. 
"22.04 10:54:33,742|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,758|" getClientNNr hat status: input: ClientId: <7602.96.0>. 
"22.04 10:54:33,758|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,758|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,758|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,773|" updateClient hat status: input: ClientId: <7602.96.0>, NNr: 26. 
"22.04 10:54:33,773|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,789|" getClientNNr hat status: input: ClientId: <7602.90.0>. 
"22.04 10:54:33,789|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,789|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,789|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,805|" updateClient hat status: input: ClientId: <7602.90.0>, NNr: 26. 
"22.04 10:54:33,805|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,835|" getClientNNr hat status: input: ClientId: <7602.103.0>. 
"22.04 10:54:33,835|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,835|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,835|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,867|" updateClient hat status: input: ClientId: <7602.103.0>, NNr: 26. 
"22.04 10:54:33,867|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,883|" getClientNNr hat status: input: ClientId: <7602.100.0>. 
"22.04 10:54:33,883|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,883|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,883|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,898|" updateClient hat status: input: ClientId: <7602.100.0>, NNr: 26. 
"22.04 10:54:33,898|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,929|" getClientNNr hat status: input: ClientId: <7602.97.0>. 
"22.04 10:54:33,929|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,929|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,929|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:33,944|" updateClient hat status: input: ClientId: <7602.97.0>, NNr: 26. 
"22.04 10:54:33,944|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:33,992|" getClientNNr hat status: input: ClientId: <7602.104.0>. 
"22.04 10:54:33,992|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:33,992|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:33,992|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:34,006|" updateClient hat status: input: ClientId: <7602.104.0>, NNr: 26. 
"22.04 10:54:34,006|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:34,038|" getClientNNr hat status: input: ClientId: <7602.92.0>. 
"22.04 10:54:34,038|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:34,038|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:34,038|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:34,054|" updateClient hat status: input: ClientId: <7602.92.0>, NNr: 26. 
"22.04 10:54:34,054|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:34,054|" getClientNNr hat status: input: ClientId: <7602.93.0>. 
"22.04 10:54:34,054|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:34,054|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:34,054|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:34,085|" updateClient hat status: input: ClientId: <7602.93.0>, NNr: 26. 
"22.04 10:54:34,085|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:34,132|" getClientNNr hat status: input: ClientId: <7602.108.0>. 
"22.04 10:54:34,132|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:34,132|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:34,132|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:34,147|" updateClient hat status: input: ClientId: <7602.108.0>, NNr: 26. 
"22.04 10:54:34,147|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:34,163|" getClientNNr hat status: input: ClientId: <7602.107.0>. 
"22.04 10:54:34,163|" getClient hat status: ClientListe leer, Client nicht gefunden. 
"22.04 10:54:34,163|" clientIsValid hat status: Kein valider client: {}. 
"22.04 10:54:34,163|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:34,179|" updateClient hat status: input: ClientId: <7602.107.0>, NNr: 26. 
"22.04 10:54:34,179|" updateClient_ hat status: ClientId in ClientListe nicht gefunden, neuer Eintrag wird erstellt. 
"22.04 10:54:34,772|" getClientNNr hat status: input: ClientId: <7602.81.0>. 
"22.04 10:54:34,772|" getClient hat status: Client gefunden. 
"22.04 10:54:34,772|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:34,772|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:34,772|" getClientNNr hat status: ClientIsValid: {<7602.81.0>,{1492,851272,510000},26}. 
"22.04 10:54:34,772|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:34,772|" updateClient hat status: input: ClientId: <7602.81.0>, NNr: 27. 
"22.04 10:54:34,772|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:35,177|" getClientNNr hat status: input: ClientId: <7602.83.0>. 
"22.04 10:54:35,177|" getClient hat status: Client gefunden. 
"22.04 10:54:35,177|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:35,177|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:35,177|" getClientNNr hat status: ClientIsValid: {<7602.83.0>,{1492,851272,557000},26}. 
"22.04 10:54:35,177|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:35,193|" updateClient hat status: input: ClientId: <7602.83.0>, NNr: 27. 
"22.04 10:54:35,193|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:35,458|" getClientNNr hat status: input: ClientId: <7602.81.0>. 
"22.04 10:54:35,458|" getClient hat status: Client gefunden. 
"22.04 10:54:35,458|" clientIsValid hat status: input: ClientSecs: 851274, RemTime: 4000. 
"22.04 10:54:35,458|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:35,458|" getClientNNr hat status: ClientIsValid: {<7602.81.0>,{1492,851274,772000},27}. 
"22.04 10:54:35,458|" getClientNNr hat status: ExpectedNNR Result: 28. 
"22.04 10:54:35,474|" updateClient hat status: input: ClientId: <7602.81.0>, NNr: 28. 
"22.04 10:54:35,474|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:35,786|" getClientNNr hat status: input: ClientId: <7602.80.0>. 
"22.04 10:54:35,786|" getClient hat status: Client gefunden. 
"22.04 10:54:35,786|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:35,786|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:35,786|" getClientNNr hat status: ClientIsValid: {<7602.80.0>,{1492,851272,603000},26}. 
"22.04 10:54:35,786|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:35,786|" updateClient hat status: input: ClientId: <7602.80.0>, NNr: 27. 
"22.04 10:54:35,786|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:35,956|" getClientNNr hat status: input: ClientId: <7602.83.0>. 
"22.04 10:54:35,956|" getClient hat status: Client gefunden. 
"22.04 10:54:35,956|" clientIsValid hat status: input: ClientSecs: 851275, RemTime: 4000. 
"22.04 10:54:35,956|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:35,956|" getClientNNr hat status: ClientIsValid: {<7602.83.0>,{1492,851275,193000},27}. 
"22.04 10:54:35,956|" getClientNNr hat status: ExpectedNNR Result: 28. 
"22.04 10:54:35,972|" updateClient hat status: input: ClientId: <7602.83.0>, NNr: 0. 
"22.04 10:54:35,972|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:36,159|" getClientNNr hat status: input: ClientId: <7602.87.0>. 
"22.04 10:54:36,159|" getClient hat status: Client gefunden. 
"22.04 10:54:36,159|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:36,159|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:36,159|" getClientNNr hat status: ClientIsValid: {<7602.87.0>,{1492,851272,635000},26}. 
"22.04 10:54:36,159|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:36,175|" updateClient hat status: input: ClientId: <7602.87.0>, NNr: 0. 
"22.04 10:54:36,175|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:36,223|" getClientNNr hat status: input: ClientId: <7602.81.0>. 
"22.04 10:54:36,223|" getClient hat status: Client gefunden. 
"22.04 10:54:36,223|" clientIsValid hat status: input: ClientSecs: 851275, RemTime: 4000. 
"22.04 10:54:36,223|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:36,223|" getClientNNr hat status: ClientIsValid: {<7602.81.0>,{1492,851275,474000},28}. 
"22.04 10:54:36,223|" getClientNNr hat status: ExpectedNNR Result: 29. 
"22.04 10:54:36,238|" updateClient hat status: input: ClientId: <7602.81.0>, NNr: 0. 
"22.04 10:54:36,238|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:36,425|" getClientNNr hat status: input: ClientId: <7602.84.0>. 
"22.04 10:54:36,425|" getClient hat status: Client gefunden. 
"22.04 10:54:36,425|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:36,425|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:36,425|" getClientNNr hat status: ClientIsValid: {<7602.84.0>,{1492,851272,697000},26}. 
"22.04 10:54:36,425|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:36,425|" updateClient hat status: input: ClientId: <7602.84.0>, NNr: 0. 
"22.04 10:54:36,425|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:36,535|" getClientNNr hat status: input: ClientId: <7602.80.0>. 
"22.04 10:54:36,535|" getClient hat status: Client gefunden. 
"22.04 10:54:36,535|" clientIsValid hat status: input: ClientSecs: 851275, RemTime: 4000. 
"22.04 10:54:36,535|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:36,535|" getClientNNr hat status: ClientIsValid: {<7602.80.0>,{1492,851275,786000},27}. 
"22.04 10:54:36,535|" getClientNNr hat status: ExpectedNNR Result: 28. 
"22.04 10:54:36,550|" updateClient hat status: input: ClientId: <7602.80.0>, NNr: 0. 
"22.04 10:54:36,550|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:36,784|" getClientNNr hat status: input: ClientId: <7602.79.0>. 
"22.04 10:54:36,784|" getClient hat status: Client gefunden. 
"22.04 10:54:36,784|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:36,784|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:36,784|" getClientNNr hat status: ClientIsValid: {<7602.79.0>,{1492,851272,775000},26}. 
"22.04 10:54:36,784|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:36,800|" updateClient hat status: input: ClientId: <7602.79.0>, NNr: 0. 
"22.04 10:54:36,800|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:36,862|" getClientNNr hat status: input: ClientId: <7602.82.0>. 
"22.04 10:54:36,862|" getClient hat status: Client gefunden. 
"22.04 10:54:36,862|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:36,862|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:36,862|" getClientNNr hat status: ClientIsValid: {<7602.82.0>,{1492,851272,806000},26}. 
"22.04 10:54:36,862|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:36,878|" updateClient hat status: input: ClientId: <7602.82.0>, NNr: 0. 
"22.04 10:54:36,878|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:36,987|" getClientNNr hat status: input: ClientId: <7602.86.0>. 
"22.04 10:54:36,987|" getClient hat status: Client gefunden. 
"22.04 10:54:36,987|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:36,987|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:36,987|" getClientNNr hat status: ClientIsValid: {<7602.86.0>,{1492,851272,853000},26}. 
"22.04 10:54:36,987|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:37,018|" updateClient hat status: input: ClientId: <7602.86.0>, NNr: 0. 
"22.04 10:54:37,018|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:37,159|" getClientNNr hat status: input: ClientId: <7602.88.0>. 
"22.04 10:54:37,159|" getClient hat status: Client gefunden. 
"22.04 10:54:37,159|" clientIsValid hat status: input: ClientSecs: 851272, RemTime: 4000. 
"22.04 10:54:37,159|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:37,159|" getClientNNr hat status: ClientIsValid: {<7602.88.0>,{1492,851272,915000},26}. 
"22.04 10:54:37,159|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:37,173|" updateClient hat status: input: ClientId: <7602.88.0>, NNr: 0. 
"22.04 10:54:37,173|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:37,720|" getClientNNr hat status: input: ClientId: <7602.95.0>. 
"22.04 10:54:37,720|" getClient hat status: Client gefunden. 
"22.04 10:54:37,720|" clientIsValid hat status: input: ClientSecs: 851273, RemTime: 4000. 
"22.04 10:54:37,720|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:37,720|" getClientNNr hat status: ClientIsValid: {<7602.95.0>,{1492,851273,118000},26}. 
"22.04 10:54:37,720|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:37,750|" updateClient hat status: input: ClientId: <7602.95.0>, NNr: 0. 
"22.04 10:54:37,750|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:38,000|" getClientNNr hat status: input: ClientId: <7602.89.0>. 
"22.04 10:54:38,000|" getClient hat status: Client gefunden. 
"22.04 10:54:38,000|" clientIsValid hat status: input: ClientSecs: 851273, RemTime: 4000. 
"22.04 10:54:38,000|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:38,000|" getClientNNr hat status: ClientIsValid: {<7602.89.0>,{1492,851273,243000},26}. 
"22.04 10:54:38,000|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:38,000|" updateClient hat status: input: ClientId: <7602.89.0>, NNr: 0. 
"22.04 10:54:38,000|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:38,032|" getClientNNr hat status: input: ClientId: <7602.91.0>. 
"22.04 10:54:38,032|" getClient hat status: Client gefunden. 
"22.04 10:54:38,032|" clientIsValid hat status: input: ClientSecs: 851273, RemTime: 4000. 
"22.04 10:54:38,032|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:38,032|" getClientNNr hat status: ClientIsValid: {<7602.91.0>,{1492,851273,274000},26}. 
"22.04 10:54:38,032|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:38,048|" updateClient hat status: input: ClientId: <7602.91.0>, NNr: 0. 
"22.04 10:54:38,048|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:38,812|" getClientNNr hat status: input: ClientId: <7602.106.0>. 
"22.04 10:54:38,812|" getClient hat status: Client gefunden. 
"22.04 10:54:38,812|" clientIsValid hat status: input: ClientSecs: 851273, RemTime: 4000. 
"22.04 10:54:38,812|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:38,812|" getClientNNr hat status: ClientIsValid: {<7602.106.0>,{1492,851273,571000},26}. 
"22.04 10:54:38,812|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:38,875|" updateClient hat status: input: ClientId: <7602.106.0>, NNr: 0. 
"22.04 10:54:38,875|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:38,890|" getClientNNr hat status: input: ClientId: <7602.102.0>. 
"22.04 10:54:38,890|" getClient hat status: Client gefunden. 
"22.04 10:54:38,890|" clientIsValid hat status: input: ClientSecs: 851273, RemTime: 4000. 
"22.04 10:54:38,890|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:38,890|" getClientNNr hat status: ClientIsValid: {<7602.102.0>,{1492,851273,649000},26}. 
"22.04 10:54:38,890|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:38,906|" updateClient hat status: input: ClientId: <7602.102.0>, NNr: 0. 
"22.04 10:54:38,906|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:38,937|" getClientNNr hat status: input: ClientId: <7602.99.0>. 
"22.04 10:54:38,937|" getClient hat status: Client gefunden. 
"22.04 10:54:38,937|" clientIsValid hat status: input: ClientSecs: 851273, RemTime: 4000. 
"22.04 10:54:38,937|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:38,937|" getClientNNr hat status: ClientIsValid: {<7602.99.0>,{1492,851273,742000},26}. 
"22.04 10:54:38,937|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:38,952|" updateClient hat status: input: ClientId: <7602.99.0>, NNr: 0. 
"22.04 10:54:38,952|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:38,968|" getClientNNr hat status: input: ClientId: <7602.96.0>. 
"22.04 10:54:38,968|" getClient hat status: Client gefunden. 
"22.04 10:54:38,968|" clientIsValid hat status: input: ClientSecs: 851273, RemTime: 4000. 
"22.04 10:54:38,968|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:38,968|" getClientNNr hat status: ClientIsValid: {<7602.96.0>,{1492,851273,773000},26}. 
"22.04 10:54:38,968|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:38,000|" updateClient hat status: input: ClientId: <7602.96.0>, NNr: 0. 
"22.04 10:54:38,000|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:39,030|" getClientNNr hat status: input: ClientId: <7602.90.0>. 
"22.04 10:54:39,030|" getClient hat status: Client gefunden. 
"22.04 10:54:39,030|" clientIsValid hat status: input: ClientSecs: 851273, RemTime: 4000. 
"22.04 10:54:39,030|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:39,030|" getClientNNr hat status: ClientIsValid: {<7602.90.0>,{1492,851273,805000},26}. 
"22.04 10:54:39,030|" getClientNNr hat status: ExpectedNNR Result: 27. 
"22.04 10:54:39,140|" updateClient hat status: input: ClientId: <7602.90.0>, NNr: 0. 
"22.04 10:54:39,140|" updateClient_ hat status: ClientId gefunden. 
